,director_and_writers,rating,title,year
191,"Rakeysh Omprakash Mehra (dir.), Aamir Khan, Soha Ali Khan",8.1,Pinte de Açafrão,2006
192,"Terry George (dir.), Don Cheadle, Sophie Okonedo",8.1,Hotel Ruanda,2004
193,"Andrei Tarkovsky (dir.), Alisa Freyndlikh, Aleksandr Kaydanovskiy",8.1,Stalker,1979
194,"Peter Weir (dir.), Jim Carrey, Ed Harris",8.1,O Show de Truman,1998
195,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8.1,Quando Duas Mulheres Pecam,1966
196,"William Wyler (dir.), Charlton Heston, Jack Hawkins",8.1,Ben-Hur,1959
197,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",8.1,O Martírio de Joana D'Arc,1928
198,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",8.1,O Salário do Medo,1953
199,"Joon-ho Bong (dir.), Kang-ho Song, Sang-kyung Kim",8.1,Memórias de um Assassino,2003
200,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",8.1,12 Anos de Escravidão,2013
201,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",8.1,Rush: No Limite da Emoção,2013
202,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",8.1,Menina de Ouro,2004
203,"George Miller (dir.), Tom Hardy, Charlize Theron",8.1,Mad Max: Estrada da Fúria,2015
204,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8.1,Os Incompreendidos,1959
205,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.1,Antes do Amanhecer,1995
206,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",8.1,Spotlight: Segredos Revelados,2015
207,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",8.1,Logan,2017
208,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8.1,Amores Brutos,2000
209,"Lasse Hallström (dir.), Richard Gere, Joan Allen",8.1,Sempre ao Seu Lado,2009
210,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",8.1,Os Suspeitos,2013
211,"Rob Reiner (dir.), Cary Elwes, Mandy Patinkin",8.1,A Princesa Prometida,1987
212,"Hayao Miyazaki (dir.), Sumi Shimamoto, Mahito Tsujimura",8.1,Nausicaä do Vale do Vento,1984
213,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.0,Butch Cassidy,1969
214,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",8.0,Prenda-me se for Capaz,2002
215,"David Yates (dir.), Daniel Radcliffe, Emma Watson",8.0,Harry Potter e as Relíquias da Morte: Parte 2,2011
216,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",8.0,Rocky: Um Lutador,1976
217,"Denis Villeneuve (dir.), Harrison Ford, Ryan Gosling",8.0,Blade Runner 2049,2017
218,"John Huston (dir.), Humphrey Bogart, Mary Astor",8.0,Relíquia Macabra,1941
219,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",8.0,Barry Lyndon,1975
220,"Pete Docter (dir.), Billy Crystal, John Goodman",8.0,Monstros S.A.,2001
221,"John Ford (dir.), Henry Fonda, Jane Darwell",8.0,Vinhas da Ira,1940
222,"Damien Chazelle (dir.), Ryan Gosling, Emma Stone",8.0,La La Land: Cantando Estações,2016
223,"Richard Kelly (dir.), Jake Gyllenhaal, Jena Malone",8.0,Donnie Darko,2001
224,"Henri-Georges Clouzot (dir.), Simone Signoret, Véra Clouzot",8.0,As Diabólicas,1955
225,"Federico Fellini (dir.), Giulietta Masina, François Périer",8.0,Noites de Cabíria,1957
226,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud",8.0,Gandhi,1982
227,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.0,O Exterminador do Futuro,1984
228,"Neeraj Pandey (dir.), Anupam Kher, Naseeruddin Shah",8.0,A Wednesday,2008
229,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",8.0,Sociedade dos Poetas Mortos,1989
230,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",8.0,O Ódio,1995
231,"Harold Ramis (dir.), Bill Murray, Andie MacDowell",8.0,Feitiço do Tempo,1993
232,"Brad Bird (dir.), Craig T. Nelson, Holly Hunter",8.0,Os Incríveis 2,2018
233,"Victor Fleming (dir.), Judy Garland, Frank Morgan",8.0,O Mágico de Oz,1939
234,"Peter Bogdanovich (dir.), Ryan O'Neal, Tatum O'Neal",8.0,Lua de Papel,1973
235,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw",8.0,Tubarão,1975
236,"Tate Taylor (dir.), Emma Stone, Viola Davis",8.0,Histórias Cruzadas,2011
237,"Anurag Kashyap (dir.), Manoj Bajpayee, Richa Chadha",8.0,Gangues de Wasseypur,2012
238,"Orson Welles (dir.), Charlton Heston, Orson Welles",8.0,A Marca da Maldade,1958
239,"Kar-Wai Wong (dir.), Tony Chiu-Wai Leung, Maggie Cheung",8.0,Amor à Flor da Pele,2000
240,"Paul Greengrass (dir.), Matt Damon, Edgar Ramírez",8.0,O Ultimato Bourne,2007
241,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.0,Antes do Pôr-do-Sol,2004
242,"Federico Fellini (dir.), Marcello Mastroianni, Anouk Aimée",8.0,8½,1963
243,"James Gunn (dir.), Chris Pratt, Vin Diesel",8.0,Guardiões da Galáxia,2014
244,"Wim Wenders (dir.), Harry Dean Stanton, Nastassja Kinski",8.0,"Paris, Texas",1984
245,"Woody Allen (dir.), Woody Allen, Diane Keaton",8.0,"Noivo Neurótico, Noiva Nervosa",1977
246,"Chan-wook Park (dir.), Min-hee Kim, Jung-woo Ha",8.0,A Criada,2016
247,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush",8.0,Piratas do Caribe: A Maldição do Pérola Negra,2003
248,"Hayao Miyazaki (dir.), Anna Paquin, James Van Der Beek",8.0,O Castelo no Céu,1986
249,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",8.0,A Batalha de Argel,1966
